iter	Logloss
0	0.6773939956
1	0.665760502
2	0.6565156695
3	0.6490064898
4	0.6435434122
5	0.638740004
6	0.6348940456
7	0.6315693972
8	0.6281628214
9	0.6253674664
10	0.6229261621
11	0.620719681
12	0.6187815642
13	0.6169279398
14	0.6154562624
15	0.6139743695
16	0.6128219052
17	0.6115518052
18	0.6105117387
19	0.6095159263
20	0.6086772813
21	0.6078378682
22	0.6070697811
23	0.6064829463
24	0.605803266
25	0.6050824453
26	0.6045176468
27	0.6035650807
28	0.6028819599
29	0.6023936958
30	0.6020082176
31	0.6015832237
32	0.6010242987
33	0.6006372571
34	0.6001827485
35	0.5996935437
36	0.5994351835
37	0.5991590167
38	0.5988847465
39	0.5986055011
40	0.5982743404
41	0.5979678752
42	0.5976856694
43	0.5974081259
44	0.5970270986
45	0.5967621504
46	0.5965270319
47	0.5963584176
48	0.5962007257
49	0.5959437328
50	0.5956523353
51	0.5953914892
52	0.595143759
53	0.5949359877
54	0.594788884
55	0.5946002702
56	0.5943817011
57	0.5941938926
58	0.5940796258
59	0.5939075604
60	0.5937893149
61	0.5936412427
62	0.5935075838
63	0.5933785557
64	0.5932128389
65	0.5930175662
66	0.5928991963
67	0.5926798008
68	0.5925505699
69	0.5924261198
70	0.5923077817
71	0.5921621922
72	0.5919821712
73	0.5918733166
74	0.5917614495
75	0.5916748903
76	0.5915901685
77	0.5914492177
78	0.5911982595
79	0.5910894009
80	0.5909401948
81	0.5908534335
82	0.5907041721
83	0.590594782
84	0.5905111614
85	0.5903977548
86	0.5902605817
87	0.5901700311
88	0.5900731451
89	0.5899772795
90	0.5899042141
91	0.5897619845
92	0.5896636203
93	0.5895504629
94	0.5894172852
95	0.5892387692
96	0.5891341446
97	0.588952473
98	0.588852125
99	0.5886784788
100	0.5885208817
101	0.5883766272
102	0.5882019952
103	0.5881104464
104	0.588028904
105	0.5878181125
106	0.5876463912
107	0.5874859276
108	0.5873712721
109	0.5872663838
110	0.5871021478
111	0.5869947565
112	0.5868786361
113	0.5867299397
114	0.5865816624
115	0.5864557637
116	0.5863494943
117	0.586232337
118	0.5860772938
119	0.5859728748
120	0.5858495781
121	0.5856893512
122	0.5855963382
123	0.5854969819
124	0.5853965665
125	0.5852878936
126	0.5851547837
127	0.5850346688
128	0.5849102621
129	0.5847850121
130	0.5847023643
131	0.5846002543
132	0.5844881552
133	0.5844128584
134	0.5842936856
135	0.5842105596
136	0.5840994697
137	0.5840178899
138	0.5839181026
139	0.5838026724
140	0.5836922748
141	0.5836075925
142	0.583501394
143	0.5834061912
144	0.5832975404
145	0.5832093169
146	0.5831223095
147	0.5830208638
148	0.5829345825
149	0.5828549197
150	0.5827706931
151	0.5826606971
152	0.5825881938
153	0.5824982418
154	0.5824190207
155	0.5823261654
156	0.5822407819
157	0.5821535284
158	0.582058134
159	0.581984046
160	0.5819051212
161	0.5817880329
162	0.5817274424
163	0.5816499023
164	0.5815805966
165	0.5815118987
166	0.5814453319
167	0.5813618127
168	0.5812774119
169	0.5811819528
170	0.5810599654
171	0.5809867841
172	0.5809201918
173	0.5808341996
174	0.5807849515
175	0.5807043591
176	0.5806368714
177	0.5805387529
178	0.5804408338
179	0.5803693577
180	0.580286058
181	0.5801791666
182	0.5800975582
183	0.5800221493
184	0.5799263142
185	0.5798674625
186	0.5797825622
187	0.579717775
188	0.579656628
189	0.5795904494
190	0.5795111852
191	0.5794293658
192	0.5793589516
193	0.5792837597
194	0.5792131639
195	0.5791496549
196	0.5790701911
197	0.5790030213
198	0.5789335141
199	0.5788640831
