iter	Passed	Remaining
0	1072	213439
1	2074	205368
2	2967	194846
3	3963	194219
4	4746	185104
5	5755	186110
6	6664	183742
7	7698	184774
8	8690	184427
9	9532	181126
10	10358	177969
11	11485	179940
12	12367	177898
13	13367	177590
14	14353	177030
15	15446	177635
16	16292	175380
17	17096	172864
18	17943	170932
19	18902	170119
20	19869	169364
21	20999	169902
22	22100	170076
23	22870	167715
24	23766	166367
25	24506	164006
26	25420	162881
27	26493	162744
28	27457	161904
29	28323	160497
30	29218	159286
31	30030	157658
32	31259	158192
33	32145	156946
34	33151	156283
35	34404	156730
36	35129	154761
37	36010	153519
38	36825	152023
39	37658	150634
40	38542	149470
41	39440	148371
42	40234	146903
43	41340	146569
44	42342	145845
45	43233	144739
46	44247	144038
47	44945	142327
48	45818	141196
49	46862	140588
50	47874	139869
51	49127	139823
52	49971	138600
53	50709	137102
54	51541	135880
55	52392	134722
56	53420	134021
57	54418	133230
58	55162	131829
59	56006	130681
60	56889	129633
61	57886	128844
62	58892	128067
63	59602	126655
64	60560	125779
65	61540	124946
66	62317	123705
67	63548	123358
68	64615	122675
69	65428	121510
70	66302	120465
71	67009	119127
72	67777	117914
73	68682	116945
74	69767	116278
75	70503	115032
76	71263	113837
77	72334	113138
78	73338	112329
79	74096	111145
80	75217	110504
81	76047	109434
82	77267	108919
83	78309	108141
84	79056	106958
85	80036	106094
86	81014	105226
87	81718	104005
88	82612	103033
89	83442	101985
90	84145	100790
91	84997	99779
92	85793	98708
93	86611	97668
94	87709	96942
95	88558	95938
96	89429	94961
97	90530	94225
98	91395	93241
99	92483	92483
100	93765	91909
101	95130	91399
102	96246	90639
103	97055	89589
104	97809	88494
105	98935	87735
106	99649	86611
107	100543	85648
108	101328	84595
109	102069	83511
110	103300	82826
111	104141	81825
112	105049	80878
113	106178	80099
114	107382	79369
115	108551	78606
116	109316	77549
117	110561	76830
118	111536	75919
119	112321	74881
120	113412	74046
121	114587	73260
122	115591	72362
123	116530	71421
124	117333	70400
125	118428	69553
126	119346	68600
127	120233	67631
128	121394	66814
129	122324	65867
130	123130	64854
131	123873	63813
132	124829	62883
133	125784	61953
134	126982	61139
135	127684	60086
136	128826	59241
137	129652	58249
138	130616	57321
139	132025	56582
140	133136	55709
141	134196	54812
142	135312	53935
143	136457	53066
144	137337	52093
145	138115	51083
146	138923	50087
147	139837	49132
148	140764	48181
149	141740	47246
150	142578	46267
151	143736	45390
152	144421	44364
153	145247	43385
154	146192	42442
155	147262	41535
156	148424	40651
157	149526	39747
158	150778	38879
159	151883	37970
160	152702	36989
161	153938	36108
162	154606	35094
163	155466	34126
164	156361	33167
165	157396	32237
166	158066	31234
167	159028	30291
168	159843	29320
169	161144	28437
170	162276	27520
171	163095	26550
172	163869	25574
173	164618	24598
174	165315	23616
175	166119	22652
176	166947	21693
177	167878	20749
178	169011	19828
179	169914	18879
180	170998	17950
181	172266	17037
182	173217	16091
183	174208	15148
184	175314	14214
185	176160	13259
186	177208	12319
187	177915	11356
188	178794	10406
189	179549	9449
190	180558	8508
191	181506	7562
192	182496	6619
193	183490	5674
194	184280	4725
195	184963	3774
196	186142	2834
197	187051	1889
198	187789	943
199	188931	0
